League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"74,498","1,415,471","74,556","74,400",2018/19,Premier League|Manchester United|2018/19
Premier League,Arsenal,"59,899","1,138,072","60,030","59,493",2018/19,Premier League|Arsenal|2018/19
Premier League,West Ham United,"58,336","1,108,375","59,988","56,811",2018/19,Premier League|West Ham United|2018/19
Premier League,Tottenham Hotspur,"54,216","1,030,111","81,332","29,164",2018/19,Premier League|Tottenham Hotspur|2018/19
Premier League,Manchester City,"54,130","1,028,477","54,511","53,307",2018/19,Premier League|Manchester City|2018/19
Premier League,Liverpool,"52,983","1,006,668","53,373","50,965",2018/19,Premier League|Liverpool|2018/19
Premier League,Newcastle United,"51,121","971,297","52,242","48,323",2018/19,Premier League|Newcastle United|2018/19
Premier League,Chelsea,"40,441","768,387","40,721","38,593",2018/19,Premier League|Chelsea|2018/19
Premier League,Everton,"39,043","741,815","39,400","38,113",2018/19,Premier League|Everton|2018/19
Premier League,Leicester City,"31,851","605,161","32,184","30,558",2018/19,Premier League|Leicester City|2018/19
Premier League,Cardiff City,"31,355","595,751","33,028","29,402",2018/19,Premier League|Cardiff City|2018/19
Premier League,Wolverhampton Wanderers,"31,030","589,572","31,436","30,130",2018/19,Premier League|Wolverhampton Wanderers|2018/19
Premier League,Brighton & Hove Albion,"30,426","578,085","30,682","29,323",2018/19,Premier League|Brighton & Hove Albion|2018/19
Premier League,Southampton,"30,139","572,640","31,890","27,077",2018/19,Premier League|Southampton|2018/19
Premier League,Crystal Palace,"25,455","483,644","25,789","24,738",2018/19,Premier League|Crystal Palace|2018/19
Premier League,Fulham,"24,371","463,051","25,401","22,008",2018/19,Premier League|Fulham|2018/19
Premier League,Huddersfield Town,"23,201","440,822","24,263","17,082",2018/19,Premier League|Huddersfield Town|2018/19
Premier League,Burnley,"20,534","390,148","21,741","18,497",2018/19,Premier League|Burnley|2018/19
Premier League,Watford,"20,016","380,297","20,540","17,301",2018/19,Premier League|Watford|2018/19
Premier League,AFC Bournemouth,"10,532","200,107","10,986","9,980",2018/19,Premier League|AFC Bournemouth|2018/19
Bundesliga,Borussia Dortmund,"79,665","1,354,305","81,365","61,365",2018/19,Bundesliga|Borussia Dortmund|2018/19
Bundesliga,Bayern Munich,"75,000","1,275,000","75,000","75,000",2018/19,Bundesliga|Bayern Munich|2018/19
Bundesliga,FC Schalke 04,"60,942","1,036,019","62,271","58,271",2018/19,Bundesliga|FC Schalke 04|2018/19
Bundesliga,VfB Stuttgart,"54,577","927,814","59,000","46,072",2018/19,Bundesliga|VfB Stuttgart|2018/19
Bundesliga,Eintracht Frankfurt,"49,794","846,500","51,500","43,800",2018/19,Bundesliga|Eintracht Frankfurt|2018/19
